Theme,Title,Poem
Love,Right From When You Came Into My Life,"Right from when you came into my life all my dreams came true, 

With your presence, life by itself feels so beautiful & anew.

You make the most complicated things seem so simple,

You make me fall in love with you each time you flash that dimple. 

The deep and strong feelings that I have in my heart for you,

Those feelings are experienced only by a fortunate few."
Love,The Miracle Of Love,"It is called the sweet magic of love,

That makes you feel you're in heaven above;


And then life begins to feel so beautiful,

So pure, worth-living, absolutely wonderful;


This miracle happened in my life too,

It happened the second I met you."
Love,You Make Me Feel Magical,"Did I ever tell you the way you make me feel?

It's like, even on a dry day, the grass appears to be green

And the sun is like it had never been hot

And the rainbow appears in the sky

And the way my heart leaps out in joy

Is a fact which I can never deny?


With you by my side, I need not fear any darkness of fate

'Coz, my darling, the only fact that I believe in is that you are my only fate 

So promise me, baby, that you'll never leave my side

In any dark story, weather or tide


And I don't wanna live another day without you in my arms

'Coz baby you're the one for me

And every time I look into your eyes my heart skips a beat

And I don't wanna live another day without you in my arms

'Coz I need you in my life

Today, tomorrow, forever."
Love,My Heart,"My heart was broken in 

so many pieces,

That I was sure,

It would not beat again.

You came and your love 

Made my heart whole again.

It beats so lovingly new."
Love,I Am In Love With You,"If beauty had a name, it would be your name, 

If innocence had a face, it would be your face, 

If love had a description, it would be your life,

If I were to love someone, it would be only and only you!"
Love,I Want To Dance With You,"You have always been with me and stood by my side,

You bring magic into my life and make me alive. 

Life is not the same when you are not around,

I can't do anything that I want, my feet are bound. 



But the moment you make your grand entrance, 

I feel like giving my life yet another chance. 

Life feels different with you, completely in trance. 

The moment you step in, I feel like pulling you to the floor to dance."
Love,You Changed My Life,"I would wander all alone without any goal in mind,

Till you popped into my life and God showed me a sign.

I knew, you were my soul mate right when our eyes met, 

You were the one for me, and on that I could even bet!



Today finally that you my darling, are a part of my life,

I just cannot express myself and tell you how happy I am. 

Every moment spent by your side is just so perfect,

I want to rob you and take to with me till the end of time."
Love,Life With You,"How can I describe my life ever since I met you?

I don't even know what it means to be sad and blue. 

Love in excellence, friendship for life, magic personified,

You brought so much into my life and made it so dignified. 

You my darling, taught me that hope should never die, 

Ever since I have forgotten what it is to weep and cry.  

With all my heart I wish to thank you so much my dear,

Losing you is the only thing now, that I ever fear."
Love,I need you,"Just like what a melody is to a song,

I need you just as much when things are going wrong.

Just the way water satisfies a thirsty person,

You fill my heart with happiness abundant. 

I really don't want to know what I would do without you,

Coz my darling without you I feel so blue."
Love,One smile changes the heart in you,"One smile changes it all for me 

One smile takes my heart away 

One smile of your my dear 

I do not have anything to say 

One smile makes my heart beats faster
 
One smiles changes everything for me 

A smile that brings me closer to you 

A smile that has that passion too 

The passion of love that I can see 

The passion of love being to you 

Baby know that I truly love you 

One smile that changes all in few 

One smile that made me love you 

Baby do not lose that smile in life!"
Love,Your love has that charm I can see,"Your love has a charm that I can see
 
There is a strange allure to thee 

Things may change but you won't 

I trust my love in life 

I know that we were meant to be
 
I know that we will love forever

This bond is so strong I can say 

Nothing will ever change in dismay 

Your love is a reason why I am me

Everything is as soft as can be 

Thanks for coming in my life 

And making me your part 

You know that you stay in my heart 

Forever my life to be 

Baby I love you to thee!"
Love,Each day I love you more,"Each day I find myself loving you more,

I try every way possible for you to know. 

Because you make me so happy and I want to make you too,

I want to know you that you have filled my life with joy anew."
Love,Love you till eternity,"Love can be felt,
 
Felt from the heart,
 
When love is true,
 
No one can make us apart,

Love is a feeling so passionate and intense,
 
The feeling is so good, with a pleasant sense,
 
I can't live without you my dear,
 
I love you lots,with you there is no fear!"
Love,Your touch,"Your touch sends ripples in my heart,

Your cuddle makes me feel all yours,

That passionate kiss you gave on my cheek,

Took away the feeling of bleak,

The purity of your love is unmatched,

The love that you have for me,

Wants to yearn more and see,

I too love you my love,

With all my feelings and glee,

Love you!"
Love,Love is...,"Love is magical and divine,

Love is the way you look at me and smile. 

Love is wonderful and holy,

Love is the day I make you mine! 

I love you!"
Love,Can't see beyond,"Can't see beyond you now,

Don't know how,

You are a part of me, my soul,

You have the most special role,

I feel complete when I am with you,

And, I wish I only knew,

That I truly love you,

And, won't be able to stay without you,

I love you!"
Love,Your beautiful name,"I wrote your name on a piece of paper,

But the wind came and took it away. 

I wrote your name on the sand,

But the sea washed it away. 

So now I have carved your name in my heart,

And baby here it shall forever stay."
Love,In your love,"In your love, I feel as beautiful as a bird,

Flying freely and far away above mountains undiscovered. 

In your love, I feel as wild as a deer,

Running around like crazy, far and near. 

In your love, I feel as chirpy as a little child,

Who is excited to see what the future unfolds. 

You make me want to look forward to the next day,

Because you have already brightened up my today."
Love,The day when I first met you,"Since the day, I met you 

I knew what true love was 

I always cared for you in life 

I always wanted to be there for you

I want to protect you along 

I want to love you so strong 

This feeling cannot be changed in life 

The way I feel for you my love 

My love is true I know that 

It is only for you, you should know 

Baby just stay as you are 

You are my life and my world 

I will love you forever in life 

You make my world so bright

I love you so much!"
Love,Your love!,"It feels amazing to be in love, 

I feel so free just like a dove.

A dove that just has been released in the sky,

I feel like I am flying up high.

Your arms are my paradise, and your love is my home,

You give me warmth; you give me peace no matter where I go. 

I will always love you my angel that you are,

I will forever love you whether you are near or far."
Love,I long for you,"I long for you each night and day 

I long for your touch, 

Things that are on my mind, 

Things that make my love one of a kind, 

Baby! I love you so 

And I want you to know 

That my love is forever!"
Love,Your love gives,"Your loves gives me the power to live, 

Your love is like my life 

I don't think I can stay without you 

Without you I won't survive 

I love you a way too much 

Waiting for your touch 

I love you!"
Love,It Feels So Nice,"It feels so nice to know that you are loved,

It feels so nice to have somebody sent for you from heaven above.

You baby, have given me more love than I thought even existed,

Even when I'm completely dried out, your love keeps me hydrated.

Thanks a ton baby for entering into my life,

I will always love you darling, till the end of my time."
Love,Finding things is not easy,"Finding things that I want to see 

With you, my life has all the glee 

Baby when I am in your arms 

It feels like an ecstasy 

More than me, I trust you to be 

The passion and that love in your eyes 

Has made me a lot more wise 

Just wish to stay this way forever 

Don't leave me and go and never 

I cannot stay without you my love 

Coz you are my life and don't shove 

Our love will win over in life 

It's so pure and is all mine 

Baby I love you so much!"
Love,To Be With You,"If I just have one wish,

You know what I will wish for you,

I would ask all the time, 

To be with you,

I would like to die in your arms,

Coz my love for you is true,

I truly love you and will always do!"
Love,The Warmth Of Your Love,"The first time I felt the warmth of your lips,

The first time that we shared a kiss,

It touched my heart, and my soul,

Please don't leave now,

I was a part and you make me whole,

I love you every much!"
Love,Love Is An Eternal Feeling,"Love has no reason,

Love may have no season

When you love someone,

All you want is to spend time with them,

When you love someone, you might wish days to be long,

Longing in the heart where you belong,

Love is an eternal feeling so true,

Everything seems so vibrant and new!"
Love,Love Me For Eternity,"My love,

Today I want to confess something to you,

What you are to me,

I can't imagine my life without you,

I love you till eternity,

Please keep loving me the way you do.

I love you!"
Love,Many Reasons To Love You,"I tried writing your name on the sand,

But, the waves washed it away,

I tried to write your name in the sky,

But, the wind blew it away,

So, I wrote your name in my heart,

I know it's always going to stay,

I love you, will always do!"
Love,My Love!,"The first time I saw you,

I was spellbound by your allure,

You mesmerized me with your splendor,

Your eyes so beautiful and lips so tender,
 
I think I have fallen for you,

And, I think I like you,

I don't know how to say it or give you a clue,

But this is surely love for me,
 
A timeless love to thee!"
Love,You are my heart and soul,"I wish to be by your side,
 
I wish I could hug you tight,
 
With you, I feel all the bliss,

Your gentle and tender kiss,
 
Why I love you so much,
 
I have no clue,
 
With you,everything is bright,

The day feels so new,

I truly love you!"
Love,You are my life,"You may be out of sight at times,

But you are always in my heart,
 
I keep thinking about you each night and day,
 
Even when we are apart,

I don't know what connects me to you,

It is a feeling so new,
 
I am sure I love you,
 
But,I think I can't stay without you now,
 
Let us take that special promise of the wedding vow!"
Love,True love,"Love is a peaceful start,
 
As it connects two loving hearts,
 
Love is a beautiful feeling so pure,
 
There is an instant charm and an allure,
 
Love is when two minds think alike,
 
It is a passionate feeling, a true like,
 
Without love, it is really tough to survive,
 
I love you a lot,

You are the one whose always in my thought!"
Love,Before I met you,"Before I met you I was lost,

I didn't know about love,

After I came in your life,

I found the meaning of love,

It is so beautiful,

It feels so new,

Everything feels so special,

Love is a wonderful emotion of heart, 

Fall in love for that wonderful start!"
Love,When I think of you,"When I think of you,

I have a smile on my face,

The way you embrace,

Makes me forget everything in life,

I only have a wish so true,

I hope to fulfill wish this too, 

I want to be your wife,

Coz I truly love you,

Yes, that is true,

I really love you!"
Love,I may not tell,"I may not tell you thousand times,

But it never seems enough,

From the day you entered my life,

The feeling of your first touch,

I have never felt this before in life,

And, I am so sure,

That I have always loved you,

I will love you more,

I love you my sweetheart, 

And, we will stay ever this way,

To never ever part!"
Love,Greatest Gift,"Love is the greatest gift I know,

I know because I love you so,

I love you so I will never ever let you go,

I will never ever let you go, you are mine forever so. 

I love you!"
Love,I met you completely out of the blue,"I met you completely out of the blue,

You showed me that dreams could actually come true.

With your never ending love you made me feel,

More special than ever, like it was no big deal.

You do so much for me adding to my happiness,

You shower with affection never the less.

I will never be able to thank you enough,

But will promise you forever my love."
Love,We Will Always Be Together,"You knocked at my door of my life and entered my heart, 

I feel in love with you, the moment I saw you my pretty tart. 

You are so beautiful, flawless and perfect than any other,

I promise to love you forever, we will always stay together."
Love,The Passion Of Your Love,"I may run out of words,

But, my feelings for you are the same,

My love for you is never ending,

Passionate, burning like a flame,

I just want to tell you,

That I love you so much,

My love for you is infinite,

My love for you is such!"
Love,Love is true and so deep inside you,"Love is so true deep inside you

It changes the way you see your life 

A feeling of agitation when love is not around
 
There is a feeling of passion that surrounds 

Love gives you many reasons to smile 

Love makes you happy all the while 

The many things that you share along 

Makes your bond even more strong 

I am blessed that I found you 

I am blessed that I have you in my life
 
Trust me things may not be the same 

If you were not there with me 

A love that I can only see in you

A love that changes me to be 

Your love changes it all I can see

Baby I love you so much!"
Love,You are an angel and you belong in heaven,"You are an angel and you belong in heaven,

For me, on earth you were sent. 

So since you came down on earth for me,

I am going to give you heaven on earth my darling!

I love you baby."
Love,Your love is the only reason why I am alive,"Your love is the only reason I am alive 

Your love has changed it all for me 

Whenever I am with you my baby 

I forget about the world around me 

It is the passion in your eyes I can see 

It is the way you always care for me 

I just want to spend time with you 

I want to hold you tight forever 

It's the love I can see in my eyes 

Love that has made me so wise 

Baby don't change is all I want to say 

You are my only hope in life 

You are my only way 

Just stay, as you are my love
 
I love you is all I wish to say!"
Love,You are my present,"If tomorrow is a mystery,

Not loving you is history,

You are my most precious gift,

And that is why I call you my present. 

I love you."
Love,You Lift Up My Spirits So High Like No One Else Can,"You lift up my spirits so high like no one else can,

When I am feeling lonely, you are always there to hold my hand.
 
When I need someone to talk to, you give me your listening ear,

When I am gloomy and low, you crack me up with your witty humour.

When I want to rest my head, your shoulder is always there,

When days get tedious, you fill glitter around me and everywhere.
 
I can't imagine life without you my dearest dear.

Only if you knew the love I have in my heart for you, right here!"
Love,Pure love it is,"You are beautiful from within, 

You are beautiful outside 

Your love is so true you know 

Without any side 

Your love is passion 

That drives me crazy 

I love you so much!"
Love,What is love,"What is love, I have known from you 

A feeling so very pure and true
 
True love is a feeling of heart 

Right from the very start 

I just love you 

And, I know that it is true 

Love you!"
Love,Love for you,"My love for you will never change, 

Even if the world will change, 

My love is pure and you must know 

That I may not really show 

But, I will love you even more 

with each passing day

I love you a lot 

From my every thought!"
Love,I fear losing you,"If there is anything I fear it is losing you,

Coz without you I feel so lost and blue. 

You have formed such an important part of my being,

Everywhere I look around it is you that I am seeing. 

I am in love with you."
Love,My life is different because of you,"My life changed since the day I met you
 
Everything changed in hue for me 

I was so in love with you 

I think that was love at first sight
 
Since then I am in awe with you 

You are the love and my light 

With you, I feel so awesome my love 

With you I feel so bright 

Never change the way you are 

Never change your things in life 

Be the same person you are 

You are my life's shining star 

My baby I am in love with you 

Will be forever and through!"
Love,I Felt Goose bumps on My Arms,"I felt goose bumps on my arms,

I felt that sweet alarm,

When Cupid struck my heart,

And that very moment I knew,

I never wanted us to ever part. 

I felt my heart skip a beat,

I felt it heavenward take a fleet.

When you looked into my eyes,

And that very moment I knew,

I was up for a beautiful surprise.

I felt my knees went weak,

When I heard you speak,

When you held my hand

And that very moment I knew,

I was in love, in love with you!"
Love,Your Love For Me,"Love was just another word,

till the time you came in my life.

your caring touch,

your loving smile,

filled the void and loved me so much,

when my soul, my heart became yours.

When my world was dipped in sorrow,

Your twinkling eyes brightened it up all.

My days were lonely my eyes were wet,

All cheered up with a blink the day we met.

Why the world is turning pink,

Why is the sky showering roses.

Hold me tight, let me not sink,

It is a conspiracy of love,

To bring us together to bring us close.

Whatever be the reason,

I do not wish to know.

Unaffected by any season,

This heart is in the flow,

Of love and happiness.

Filled with sweetness overpowering the sour,

your caring touch,

your loving smile,

when filled the void and loved me so much,

was when my soul, my heart became yours."
Love,I Miss You,"Gone are the days where you held me close,

My memories are still filled with those times the most.

The shortest of possible times for love to blossom,

Never did continue with destiny so gruesome.

I know you loved me and you still do,

Love, but you let me know myself better too...

I Will Always Love You!"
Love,I Love You,"We fight and we argue,

But there is not a single day I can live without you.

For love, you are the only one that understands me through,

And in my heart, several thoughts brew.

But the most important continues to be you,

For it is the sole reason that sees me through.

Darling, I Love You!"
Love,My World Of Love,"It was too hard to gather,

The courage to tell you,

How every day makes me bother,

How much I love you.

But now your eyes,

Are my strength.

The truth and love that lies,

Beneath that pretty fence.

Is my world."
Love,When I am not besides you,"I am sad when I am not besides you 

With you, I feel radiance in life

That glow on my face is pretty because of you 

It's your love that completes my world 

Your love gives me a new high 

A high that makes me feel surreal 

Baby never leave my side and go 

Coz you complete my life and so 

I feel the void without you 

Its only you, yes it's you 

Baby my love for you is such 

It gets a meaning with your touch,

I love you very much!"
Love,It's a feeling so pure,"Love is a feeling,

Which changes with time, 

But, this won't happen with me, 

Because your love is like my life 

It is my world and ecstasy 

I love you for what you are, 

Please don't ever go far, 

Because I love you a lot!"
Love,Somewhere Sometime,"Somewhere sometime,

The moon will come down.

On its knees too fine,

When my heart will pound.

To tell you how much,

It beats for you.

To let you know how such,

Lovers are few."
Love,Being With You Is A Pleasure,"Your beauty takes my breath away,

I don't know why I feel this way,

The sparkle of your eyes,

Expresses so much,

The warmth of your body,

That gentle touch,

When you look at me,

There is nothing more I can see,

When you come near,

I can feel the heat,

Let's embrace each other tonight,

Want to know who you are,

Honey, hold me tight,

Love you!"
Love,Not Without You,"You have a special place in my heart,

No one can make us apart,

I love you for what you are,

Can't imagine my life, when you are far,

I don't know what to say, 

How to express my love for you,

With you, everything seems so special and new

I love you more each day,

Now, without you, it's impossible for me to stay,

I love you lots!"
Love,"You live in my soul, not my heart","You live in my soul, not my heart,

I miss you while we are apart. 

I feel the urge to listen to your voice all the while,

When you are not around I feel like crying. 

You make me smile as easily as a snap,

I love lying on your shoulder and taking a nap.

So baby I am going to keep you in my soul, not my heart,

So that even after I am dead, you are alive in me."
Love,Love You More Each Day,"With each passing day,

I love you more,

The gleam of your eyes,

The beauty of your face,

The warm expression, 

The subtle hints,

The warmth that I feel with you,

You don't have a clue,

That I love you more, 

With each passing day!"
Love,One life for sure,"One life and one love for sure, 

You know you are in love and more

When you feel something from inside, 

It is like a turning tide, 

Many emotions and only one thought 

Love as a feeling that is tough to sought, 

I love you a lot!"
Love,It has a spell that binds me to you,"Your love has a spell that binds me to you 

Whenever I am there with you 

I melt in your arms my love 

When you speak to me 

I just want to listen to you
 
When you look at me with love 

My heartbeat is faster than ever 

My love will never change for you 

You and I complete each other 

A love that is pure all through 

A feeling of love being with you 

Is so awesome and so new 

Baby I want to be in your shadow of 

Love forever in my life 

Baby I love you so much

Will love you forever in life!"
Love,"Understand Love, Pick The Signs","Not everyone is able to express their feelings out loud, 

But don't miss the way they look into your eyes without a sound.

'Coz their eyes will tell you all those things that their lips cannot,

Close your ears,listen with your eyes, later don't say 'your forgot!'"
Love,Spending my days with you,"Can't think of spending a day without you, 

Can't think of my life too 

You are my smile that brighten up my day
 
And, I don't have much to say 

Apart from that I love you so much 

And, I just love your passionate touch 

Love you baby!"
Love,If I were to follow your path,"If I were to follow your path, 

I would never be lost,

Even if I were lost, such a bliss it would be

Coz baby, I love you the most. 

So lead me your way my dear,

Coz getting lost is not what I fear.

If I fear it is losing you my love,

You to me are like a star,

Fallen, from heaven above."
Love,Like a diamond on a ring,"Like a diamond on a ring,

Like gleam to bling. 

Like colors on a rainbow,

Like sugar to mash mellows.

Like light to the sun,

Like bread to brunch. 

Like honey to the honeycomb,

Like a child in a mother's womb

You seem to be the best thing in my world,

And you have made my whole life swirl."
Love,My love at first sight,"My dearest, Love at First Sight. 

I love you so with all my might. 

I have written your name on my heart,

It reminds me how much I love you when you are apart. 

I promise to forever and for always treat you right,

I promise to only have you my baby in my sight."
I Love You,Its amazing how you are,"It's amazing how each day 

We discover so many things 

Its amazing how each day 

I fall in love with you 

It's amazing how each day 

I get to know new things about you 

It's amazing how each day 

I get to love you more 

I believe that my love is 

Blissful because of you 

Baby I know well all about you 

When you and I will be one 

Baby I am so in love with you 

I truly love you!"
I Love You,Love is what you make me feel,"Without you it is hard to breathe.

I love you so like no other,

I promise to love you like this forever! 

I love you my dear."
I Love You,My love for you,"My love why I love you more each day, 

When you come in front, 

I lose my say, 

Why I feel so numb when you look at me, 

Why I can't see anything that you tell me to see,

Why I long for your touch the whole day,

With you around, I feel so good,

I feel content and gay,

My happiness knows no bounds,

Because my love for you is true,

Yes, I truly love you!"
I Love You,I really do not know how it happened,"I really do not know how it happened 

But now you are one of the most 

Important person of my life 

I came close to you slowly 

Slowly you took my heart away with you 

Can't imagine a day without talking 

Can't imagine my day without you

Looks like you have a special part 

That is the reason you have taken my heart 

Baby I am so in love with you 

Love that will stay in through 

I have a pure feeling for you 

I simply love you!"
I Love You,You have become a part of my life,"You have become a part of my existence 

You have become a part of me 

You have become my destiny 

Baby I just want you to see 

Look in my eyes and you will now 

I may not have gestures to show 

Look and you will feel so much 

As passionate as that loving touch 

You and I were meant to be 

So together in life 

You and I are forever 

That is what is destined 

Baby I am in love with you 

A love that will hold on and true!"
I Love You,Like the sunshine,"Like the sunshine you bring brightness into my life,

Like the rainbow you add color to me and make me smile. 

Like the spring you made me happy and glad,

Like the moonlight you guide me when I am sad."
I Love You,That first moment,"That first moment when I saw you 

Something just caught me 

That charming face so bright 

Made me feel that light 

The light of love that I could feel 

Getting that vibe in my heart 

I knew that was the start 

Of love and my life will change 

Baby I love you all the way 

Can't stay without you even for a day 

This love will last till the end 

It is true all the way and no pretend 

Baby I love you!"
I Love You,Each passing day,"Each passing day and night, 

Each warm and pleasant sight, 

Do you know what you mean to me, 

With you I feel all the glee, 

The magic of your love is such, 

That I feel in your every touch, 

Baby I love you so much, 

Till the end of time, 

And, I feel so good that you are all mine, 

I love you!"
I Love You,You love once,"You only live once is true, 

But, you also love once, 

In my case, you are my first love 

And hopefully the last, 

You and me make a perfect cast 

Of our movie of life! 

Baby I so love you!"
I Love You,You are my life,"You are my life, 

You are my world, 

Without you I lose my say, 

In every which way, 

With you, I feel so nice, 

With you, I feel so wise, 

We are perfect for each other,
 
Coz we are there for one another, 

I love you a lot, 

You are in my every thought!"
I Love You,When I say that,"When I say that I love you 

I also mean that 

It was there from the start 

Now, when you are apart 

I can't stay without you 

Without you I feel so blue 

Just want to tell you

That I love you!"
I Love You,Your eyes when speak to me,"Your eyes speak to me
 
Your lips have a story to tell
 
You make my heat skip a beat 

You make me feel shiver with your touch
 
That passion which I can see in you 

There is a thing that I feel for you 

Love is a core that is within me 

Love is a feeling that is left to see
 
Love is a name I want to know 

The name that is written in my heart,
 
Your love does play a part 

In my life forever 

My baby I love you so much!

So in love with your touch 

Our love will stay this way forever!"
I Love You,Feeling of desire,"That wonderful feeling of desire,

Your thoughts make me feel higher, 

If this is love, 

Then you are the one for sure,

You are the only heal of life,

You are my only cure, 

I don't know why I love you much, 

I don't know why I am sure,

But, you are the one I want to spend my life with,

Here I am, I admit, 

That I love you a lot!"
I Love You,When I saw you,"Since the time I saw you,

I am not being me, 

Wherever I go, whatever I know,

It's you that I only see, 

You are in my heart, 

You are now my life,

Can't think of a life without you, 

Love me the way I really do,

Or else I won't survive, 

Coz I really do,

Yes, I love you!"
I Love You,You Are Mine,"You are the light in the darkness, 

You are the gleam of my happiness,

You are the reason, why I breathe,

You are my life, my heart's need,

I am lost when you are not around me,

There is nothing more I can see,

I love you and will do till the end of time,

You are mine dear

You are truly mine!"
I Love You,You are Everything to Me,"You came in my life,
 
And opened up my heart,
 
With you I felt,
 
A whole new start,
 
You made me calm,

A better person in life,
 
Don't know without you,

How will I survive? 
I love you so much,
 
That it is tough to express,

No one does, as you impress,

I love you lots baby,

I truly do!"
I Love You,Have I Said I Love You?,"Have I said I love you,

Coz you are the only one for me,

Wherever I go,

It's your pretty face that I can see,

Have I said I love you?

I think I do more than me,

Till the end of universe,

To the depth of the sea,

I love you so much!"
I Love You,My days are not so bright,"My days are not so bright 

I really do not feel all right 

When you are along with me 

It's everything that I want to see 

Baby your smile gives me all the glee

Your touch entices me 

When you speak, I just want to hear

When you are so close to me and near 

I wish that the moment stops 

I wish that we look at the bright sky 

Making promises of tomorrow to come 

When our world will become one 

Baby I am so in love with you 

I truly love you!"
I Love You,It is something magical,"Love is something magical

You want that company every time 

For you that person becomes so prime

You smile without reason

You are happy in very season

That is the sign of love 

I love you!"
I Love You,I know that its love when you are,"I know that its love when you are in my life

I know that its love when I see you 

When I talk my heart to you 

When we hold our hands 

When we make plans for future 

When you always understand 

We know that we are there in time 

And know that you are mine 

I know its love when you have 

Given a promise to stay with me 

Just want to tell you baby 

That I can't stay without you 

I am so in love with you 

I love you!"
I Love You,You have made be happier,"You have made be happier than I thought I could ever be,

You have made me smile even in my dreams. 

You are the one I have been waiting for forever,

I always want us to be together!"
I Love You,You Amplify My Joys,"No tune is merrier than your words,

For you sing the sweetest.

No heart is closer than yours,

You touch me the deepest.


Pushing away the sorry times,

You carry me to the blessed lanes.

Juggling and jumbling the world around,

You amplify my joys, downgrade the pains.


I shall always love you, Sweetheart."
I Love You,Your love is true,"The yearn and that desire, 

When I am with you I feel so lost, 

When I am with you, I forget everything, 

My heart just wants to sing, 

That special song for you, 

Without you I feel so blue,

My dear I just want to tell you,

That I truly truly love you, 

I mean it, I do!"
I Love You,Your magic on me,"Your magical eyes, 

Your lips so tender, 

I love your charm

I would love to surrender 

Your heart as pure as you 

With you it feels so new 

Baby I truly love you 

Yes I do!"
I Love You,A part of me will stay with you,"A part of me will stay with you 

A part of me will stay in few 

Of feelings that are in my heart 

To being the most important part 

Your love mesmerizes me 

You play an important part to thee
 
When you smile and look in my eyes 

I get those flash in vibes 

Of love that I can see in you 

Of love that I can feel with you 

My baby you know that I love you 

I know that it is for you 

I know that it is so true 

Baby I am in love with you!"
I Love You,What You Are To Me,"There are many reasons, 

Irrespective of all the seasons,

My love for you has grown with time,

All the way, I cherished its mine,

I love you for what you are to me,

I love you coz, the real me you are able to see,

Now, with time I think I love you more,

It is an eternal thread; it's to the core,

I love you sweetheart!"
I Love You,I don't make a choice,"I don't make a choice to love you 

Because I was destined to be with you 

My love is not a want for you 

It's a need that is in through 

I do not express my love to you 

Know that I will always love you 

My love will never change for you 

Know that I am falling each day for you 

Something special that connects our soul 

You do have an important role

My love for you will remain the same 

Will start with you and end on your name 

Baby I love you!"
I Love You,Love is when I see,"Love is baby when I see in your eyes 

Love is when you talk so wise 

Love is in the depth of your being 

Love is the things that we see 

Love is when you hold my hand 

Love is when you make me understand 

Love is your passionate touch 

When you cuddle me so tight 

Love is the feeling my dear 

This makes my world so bright 

Love is a feeling that starts with you 

And it ends on you 

Baby I truly love you!"
I Love You,I Love The Way,"I love the way you make me feel,

I love the way with me you deal.

I love the way you look at me,

I love the way the way you think and see.
 
I love the way you make me so very glad,

I love the way you cheer me up when I am sad. 

I love the way you shower me with love and care,

I love the way for me that you are always there. 

I love you a lot."
I Love You,The love that I can see,"The language of love and you 

There is some connection to hue 

I have had so many questions 

You are the answer to all of them 

I spend the best time with you 

Because you always understand 

Baby know that when I am with you 

I just know that i am in love with you 

This love will never fade away 

This love will forever and ever stay 

I have never really loved anyone this way 

Like I love you all the way 

You are special and you will remain special;

To me every way,

I am so in love with you!"
I Love You,You Heal My Wounds,"Every time am hurt,

You help me heal.

I wish to tell you now

Of how, my core feels.


A hope, a faith,

You are all I crave.

You are calm and clear

Soft and tender, yet brave.


I see, live, and taste dreams

With you around.

When my soul is not with yours

I feel, am going down.



May we always stay in love."
I Love You,You are my everything,"Baby you form my whole world, you are my night and my day,

No matter how my day goes you always manage to brighten up my way. 

You make me so happy and so joyful, just with your presence,

You make me fall in love with you everyday with your fragrance. 

I want to live with you like this forever and ever my love,

Cause you are just like this beautiful angel from heaven above.
 
I've made a silent promise to myself to love you like this forever,

I will make it a point to see to it that we are always like this together."
